title,authors,description,categories,average_rating,ratings_count,published_year
Realm of Giants,Aelina Isaacs,"Novak. Zemer. Akar. Tzel. Vagabond Bard. I've had many names throughout my life, and I suppose they've all suited me well enough. Who knew Villain would be the name that I wear best? Months after the events in The Eternal Machine, Novak leads an Expedition into the long separated Realm of Giants, a land filled with dragons and dangerous secret societies who already have their eyes set on Iverbourne. Novak's mind is set on one thing, defying the course of Death, but as he meets new foes, finds family and himself, he begins to ask himself a vital question. Is defying Death worth the cost of humanity?",,,,2022
5 Fantasy Heroines,Linda Maye Adams,"Five page turning short stories, including: A Quartet of Clowns With the fog comes death. Ilya smells it coming. The last time? Her mother, a clown, died. Now the circus arrives, hunting what lurks in the fog. Ilya must embrace her mother's legacy before death takes her. A chilling fantasy short story that keeps you turning pages. Honorable mention recipient in the Writers of the Future contest. River Flight A princess turned soldier, Boatman Juliette faces her greatest challenge. Her father, dead. Her uncle, plotting against her. She must make a treacherous race up a river to reach the palace. The enemy waits, ready for an ambush. An exciting story that will keep you turning pages until the end. Trapped Private Penelope Prescott wants respect. One of the women recruited to fill war losses, she gets no respect from her fellow soldiers. But now her regiment is fleeing enemy forces and a booby-trap lays in their path. The regiment's survival rests on her. She faces insurmountable obstacles to save the regiment in this chilling tale of adventure.",,,,2020
A Time of Courage: of Blood and Bone 3,John Gwynne,"In A Time of Courage, angels, demons and heroes face the ultimate fight for the Banished Lands. This is the epic conclusion to John Gwynne's mighty trilogy: Of Blood and Bone. Battle the dark Reclaim the world The King of the Otherworld is finally free. Armed with fearsome new starstone weapons, Asroth prepares to lead his demonic war-host south. And with the help of his bride, Fritha, he plans to crush the warrior-angels and their allies for good. In the shadows of Forn Forest, Riv and the surviving Ben-Elim hold a war council - desperate to unite those who would stand against Asroth and his army. They decide to fly west, to join the Order of the Bright Star. But Drem and the Order are already under siege by a demon horde and their fragile defenses may soon shatter. Across the Banished Lands, armies are gathering to settle ancient grudges and decide the fate of humanity. Drem, Riv and the Bright Star's warriors will need to call on all their courage as they face the final battle. But will it be enough, as their darkest hour draws near? 'Reminds me of why I became a fantasy enthusiast in the first place' - Robin Hobb on A Time of Dread 'This book is so damned good . . . John Gwynne writes fantasy with the heart of a hero and the inventiveness of a master mage' - Sebastien de Castell on A Time of Blood",,,,2020
Riders on the Storm,Rob Blackwell,"Dakota Territory, 1883: A land of violence, lawlessness-and vicious monsters. Jules Castle can outsmart, outgun, and outrun any bandit in the Old West. But are her legendary skills be enough to save her father? Three years ago, Jules' outlaw father vanished during a mysterious mission. Since then, she's kept up the family business, robbing banks and chasing clues to his whereabouts across the Territory. Unfortunately, his trail sets her right in the path of supernatural, hard-to-kill creatures known as Vipers, whose bite will transform anyone into one of their kind.Jules is determined to save her father, no matter the peril or cost. With the help of a bounty hunter and her adopted sister Miranda, she will have to pull off an impossible rescue. Hounded by former members of her father's gang, hunted by a U.S. Army posse, and pursued by Vipers, Jules' chances are slim. Can she beat the odds one last time?From Amazon bestselling author Rob Blackwell comes Riders on the Storm, a unique urban fantasy combining elements of a Western with the supernatural, suspense, and action. Find out why readers praise his novels for their unpredictable twists, jaw-dropping endings, and unforgettable characters.",,,,2019
The Feast of Fools,Harvey Cox,"In this fascinating interpretation of contemporary culture and theology, Harvey Cox examines both the loss and reemergence of festivity and fantasy in Western civilization. He evaluates both processes from a theological perspective, defining festivity as the capacity for genuine revelry and joyous celebration and defining fantasy as the faculty for envisioning radically alternative life situations. He asserts that both are absolutely vital to contemporary human life and faith; both are a precondition for genuine social transformation. In a success and money-oriented society we need a rebirth of unapologetically unproductive festivity and expressive celebration. In an age that has quarantined parody and separated politics from imagination, we need a renaissance of social fantasy. It has been said over and over again that affluent Western man has been gaining the whole world while losing his soul. In the face of this Mr. Cox affirms the possibility and necessity of a resurgence of hope, celebration, liberation, and experimentation. The medieval Feast of Fools, from which he has taken his title, symbolizes both the problem and the process. Centuries ago it provided an opportunity for the choirboy to play bishop and for serious townsfolk to mock the stately rituals of church and court. The eventual disappearance of the custom in the sixteenth century, unlamented if not welcomed by those in authority, illustrates the concerns of this provocative and controversial essay. Mr. Cox does not propose that a medieval practice should be revived, but he does argue for a rebirth in our own cultural idiom of what was right and good about the Feast of Fools. It is likely that this book will become significant in wide circles. It speaks directly to such contemporary movements as the theology of hope, the rapidly disappearing radical theology, and the theology of culture. For many it will provide a new perspective on the renewal of religious life and the secular search for religious experience. For others it will function as a window into the experimental laboratories of the so-called ""underground church."" For everyone it is a refreshing encounter with a wholly new set of perceptive observations about the problems that plague us.",Psychology,,,1969
Party Hard,David Petrie,"The game of their dreams. A flip of a switch. Nightmare mode. For lifelong friends Max and Kira, Carpe Noctem has become a second home. Max spends his time as a gunslinging Fury, able to deal massive damage in a short amount of time, while his teammate Kira the Breath Mage watches his back and keeps his health topped off. Together, they form a formidable combo. A literal dream team, because before the game hit the market, the average person lost a third of their life sleeping. Now sleep is only seen as the doorway into the game. Unfortunately, dreams don't last forever. After being fired, one of Noctem's creators sets into motion a plan to bring the system crashing down, and send the real world into economic ruin. To stop the collapse, Max and Kira have to gather their most trusted friends and embark on a quest that will test their absolute limits. If they want to save the world they love, they'll have to push their Party Hard to make it through the nightmares that await them.",,,,2020
A Fantasy of Far Japan,Kencho Suematsu,"Step back in time with Baron Kencho Suyematsu's ""A Fantasy of Far Japan: Summer Dream Dialogues,"" a captivating exploration of Japanese civilization and culture. Through engaging dialogues, the book offers a fascinating glimpse into the society and customs of Japan. Originally published as a window into a world both familiar and foreign, this meticulously prepared edition allows readers to experience a thoughtful perspective on Japan. Suyematsu's work provides a unique insight into the historical context of Japan, making it an invaluable resource for anyone interested in Japanese history and its societal traditions. Explore the nuances of Japanese life through the eyes of a keen observer in this classic work. Delve into a ""Summer Dream"" and discover the enduring fascination with the Land of the Rising Sun. This edition is perfect for those interested in travel, history, and the rich tapestry of Japanese civilization. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,,,2025
Fantasy and Reality in History,Peter Loewenberg,"In Fantasy and Reality in History, Peter Loewenberg brings what the discipline of psychoanalysis has learned about human conduct and the irrational to bear on the analysis and writing of history. The result is a remarkable series of studies on individual and social anxiety, racism and nationalism, and crisis management. First examining early twentieth century Zürich and the first practitioners of psychoanalysis--Freud, C.G. Jung, Karl Abraham, and others--to establish the discipline's understanding of the unconscious and how it functions, Loewenberg then explores the tensions in the lives and politics of modern political leaders. The great British Liberal Prime Minister Walther Rathenau, and the Russian fascist demagogue Vladimir Zhirinovsky are among those studied. In each of these interconnected essays, Fantasy and Reality in History makes readily evident the advantages, and unique insights, that psychoanalytical techniques can provide in the examination of history. Loewenberg's blend of clinical and historico-political methods not only produces new exciting research, but demonstrates how it is done.",History,,,1995
The Emperor's Edge,Lindsay Buroker,"Imperial law enforcer Amaranthe Lokdon is good at her job: she can deter thieves and pacify thugs, if not with a blade, then by toppling an eight-foot pile of coffee canisters onto their heads. But when ravaged bodies show up on the waterfront, an arson covers up human sacrifices, and a powerful business coalition plots to kill the emperor, she feels a tad overwhelmed.Worse, Sicarius, the empire's most notorious assassin, is in town. He's tied in with the chaos somehow, but Amaranthe would be a fool to cross his path. Unfortunately, her superiors order her to hunt him down. Either they have an unprecedented belief in her skills... or someone wants her dead.",Assassins,,,2010
The Greatest Science Fiction Novels & Stories by H. G. Wells,H. G. Wells,"H. G. Wells' ""The Greatest Science Fiction Novels & Stories"" is a compelling compilation that showcases the pioneering brilliance of one of the genre's founding figures. The anthology features a selection of his most esteemed works, illustrating Wells' remarkable ability to weave complex narratives that merge scientific innovation with profound social commentary. His distinctive literary style, characterized by accessible prose and vivid imagination, reflects the Victorian era's rampant curiosity about science and its ethical implications, thus capturing the zeitgeist of the late 19th and early 20th centuries. Through riveting tales such as ""The War of the Worlds"" and ""The Time Machine,"" Wells not only entertains but invites readers to reflect on themes of progress, dystopia, and the human condition. Wells, often dubbed the 'father of science fiction,' was greatly influenced by his background in science and education, as well as his keen awareness of societal issues stemming from rapid industrialization. His literary journey was marked by an innate desire to provoke thought and debate, which is evident in this anthology. Having witnessed the terrors of war and societal upheaval, he utilized fiction as a vehicle for exploring the potential consequences of humanity's technological advancements, thus imprinting a lasting impact on the genre. This anthology is a must-read for anyone interested in not only the evolution of science fiction but also the relationship between humanity and technology. By diving into Wells' perceptive explorations, contemporary readers can gain invaluable insights into the enduring questions that resonate through the ages. The collection stands as a testament to Wells' genius and his profound understanding of the human psyche, making it essential reading for scholars, students, and enthusiasts alike. In this enriched edition, we have carefully created added value for your reading experience: - A comprehensive Introduction outlines these selected works' unifying features, themes, or stylistic evolutions. - The Author Biography highlights personal milestones and literary influences that shape the entire body of writing. - A Historical Context section situates the works in their broader era—social currents, cultural trends, and key events that underpin their creation. - A concise Synopsis (Selection) offers an accessible overview of the included texts, helping readers navigate plotlines and main ideas without revealing critical twists. - A unified Analysis examines recurring motifs and stylistic hallmarks across the collection, tying the stories together while spotlighting the different work's strengths. - Reflection questions inspire deeper contemplation of the author's overarching message, inviting readers to draw connections among different texts and relate them to modern contexts. - Lastly, our hand‐picked Memorable Quotes distill pivotal lines and turning points, serving as touchstones for the collection's central themes.",Fiction,,,2023
The Year's Best Science Fiction: Twenty-Eighth Annual Collection,Gardner Dozois,"In the new millennium, what secrets lay beyond the far reaches of the universe? What mysteries belie the truths we once held to be self evident? The world of science fiction has long been a porthole into the realities of tomorrow, blurring the line between life and art. Now, in The Year's Best Science Fiction: Twenty-Eighth Annual Collection the very best SF authors explore ideas of a new world. This venerable collection of short stories brings together award winning authors and masters of the field such as Robert Reed, Alastair Reynolds, Damien Broderick, Carrie Vaughn, Ian R. MacLeod and Cory Doctorow. And with an extensive recommended reading guide and a summation of the year in science fiction, this annual compilation has become the definitive must-read anthology for all science fiction fans and readers interested in breaking into the genre.",Fiction,3.0,1.0,2011
The Year's Best Science Fiction: Twenty-Fifth Annual Collection,Gardner Dozois,"In the new millennium, what secrets lay beyond the far reaches of the universe? What mysteries belie the truths we once held to be self evident? The world of science fiction has long been a porthole into the realities of tomorrow, blurring the line between life and art. Now, in The Year's Best Science Fiction Twenty-Fifth Annual Collection the very best SF authors explore ideas of a new world. This venerable collection of short stories brings together award winning authors and masters of the field such as Robert Reed, Ian McDonald, Stephen Baxter, Michael Swanwick, Paolo Bacigalupi, Kage Baker, Walter Jon Williams, Alastair Reynolds, and Charles Stross. And with an extensive recommended reading guide and a summation of the year in science fiction, this annual compilation has become the definitive must read anthology for all science fiction fans and readers interested in breaking into the genre. ""This venerable annual’s twenty-fifth edition represents a milestone for editor Dozois. He has kept faith with the series for a quarter-century without ever shortchanging, or even showing any signs of shortchanging, readers on either quality or abundance of selections.""--Booklist",Fiction,4.0,6.0,2008
ALICIA II (English Edition),Robert Thurston,"In the not distant future the world hasn't changed so much - men and women still fall in love, laugh, and sip wine - but some have changed, some will live forever as retreads, old souls implanted surgically in the empty bodies of the young. Voss Geraghty is a retread, a retiring government researcher who has been rewarded with a new body. What he wants out of his new life is fun, sex, and adventure, what he finds is disappointment. But there's a growing radical underground that sees the inequity in a society that allows the young to die so that the old may live on... Alicia II is the undisputed science fiction masterpiece by Robert Thurston (* 28. Oktober 1936 in Lockport, New York; † 20. Oktober 2021 in Ridgefield Park, New Jersey) and was first published in 1978; Apex is publishing a new edition of this classic novel in its ENGLISH SCIENCE FICTION NOVELS series.",Fiction,,,2022
50 Short Science Fiction Tales,"Isaac Asimov, Groff Conklin","Stories of 300 to 3,000 words from Asimov, Clarke, Heinlein, Kornbluth, Leiber, Sturgeon, et al. which have been selected to surprise, shock, and delight.",Fiction,,,1997
Science Fiction: 101,Robert Silverberg,"The Grand Master details his development as a writer and shares thirteen favorite sci-fi stories from his youth and what they taught him about writing. Every writer must start somewhere. Robert Silverberg was once simply a young man learning the art and craft of writing before he found success. But how did he get from there to winning four Hugo Awards, three Locus Awards, and six Nebula Awards, as well as being named a Grand Master of science fiction? In Science Fiction 101, the prolific author looks back to his roots in the genre to answer that question. With thought-provoking essays, Silverberg details the inspiration, lessons, strategies, and skills he gained from thirteen groundbreaking science fiction stories from the 1940s, '50s, and '60s—all included in this volume. It's an entertaining and enlightening read, perfect for those interested in sci-fi history and the craft of writing. Featuring thirteen classic stories from Brian W. Aldiss, Alfred Bester, James Blish, Philip K. Dick, Damon Knight, Cyril M. Kornbluth, Henry Kuttner, C. L. Moore, Frederik Pohl, Bob Shaw, Robert Sheckley, Cordwainer Smith, and Jack Vance. Previously published as Robert Silverberg's Worlds of Wonder Praise for Science Fiction 101 ""An excellent introduction to the most important roots of modern SF."" — The Washington Post ""Offers encouragement and sound counsel . . . Anyone interested in writing science fiction and fantasy will profit from this book."" — San Francisco Examiner-Chronicle ""A virtual primer on the writing of science fiction . . . a fascinating portrait of a young man becoming a writer . . . Finally, we have the 13 stories, almost all of which are classics in the field, wonderful to reread and in some cases to encounter for the first time."" — Publishers Weekly ""A unique and successful work."" — Los Angeles Times",Fiction,,,2024
The Machine Stops: A Fantastic Story of Science Fiction by E.M. Forster,E.M. Forster,"Enter a world where humanity's dependence on technology reaches unprecedented heights in E.M. Forster's visionary work, ""The Machine Stops: A Fantastic Story of Science Fiction."" This captivating tale serves as a warning against the dangers of technological isolation and the erosion of human connection in a future where reliance on machines reigns supreme. Set in a dystopian future where people live in isolated cells, completely reliant on an all-encompassing machine for their every need, ""The Machine Stops"" explores the consequences of this extreme dependence. Through the experiences of characters like Vashti and Kuno, Forster delves into themes of isolation, dependency, and the loss of individuality, prompting readers to reflect on the impact of technology on their own lives. As you journey through the pages of this thought-provoking narrative, you'll be drawn into a world that is both eerily familiar and unsettlingly foreign. Forster's vivid descriptions and insightful commentary on human nature create a sense of urgency and unease, compelling readers to question the trajectory of technological progress and its implications for society. Through the lens of science fiction, ""The Machine Stops"" offers a poignant critique of modern society's increasing reliance on technology and the potential consequences of this dependence. Forster's exploration of themes such as individuality, freedom, and the pursuit of knowledge resonates deeply with readers, prompting them to reconsider their own relationship with technology and the importance of human connection. Since its publication, ""The Machine Stops"" has earned widespread acclaim for its prophetic vision and timeless relevance. Its exploration of the perils of technological isolation serves as a cautionary tale for generations to come, reminding us of the importance of maintaining our humanity in an increasingly digital world. Don't miss your chance to experience the haunting beauty and profound insight of ""The Machine Stops."" Whether you're a fan of science fiction or simply intrigued by thought-provoking narratives, this masterpiece is sure to leave a lasting impression. Grab your copy now and embark on a journey into the heart of technological darkness with E.M. Forster as your guide.",Fiction,,,2023
The New Space Opera,"Gardner Dozois, Jonathan Strahan","""This anthology is a reminder of why science fiction captured the hearts and minds of generations of readers."" —Orson Scott Card What sets space opera apart from other fiction is its sheer scale: it is an exuberant celebration of the very large and the very small, of the very old and the very new, of the vast, panoramic instant we live in; the instant in which everything that went before melds with everything yet to be. It is Star Wars and Battlestar Galactica. The only book of its kind, The New Space Opera brings together for the first time the generation of writers who spawned and embody the ""new space opera,"" as well as other talents destined to join their ranks. Going beyond everything that has come before, this fresh, visionary anthology is essential reading for every science fiction fan. ""The new space opera shares with the old the interstellar sweep of events and exotic locales, but Dozois and Strahan's all-original anthology shows how the genre's purveyors have updated it, with rigorous science, well-drawn characters and excellent writing."" — Publishers Weekly (starred review) ""Dynamic and exciting . . . an essential roadmap to the cutting edge of SF today."" —Charles Stross ""In sheer breathtaking, mind-expanding scope, this collection of some of the finest tale-spinning the subgenre has to offer delivers hours of exhilarating reading."" — Booklist",Fiction,,,2016
Anarchy's Edge,Dave Walsh,"Deep in the heart of the galaxy, an ancient, banished force lays in wait. Life has transformed for Trella. No longer bound to the old ways of her people, she seeks her place in the galaxy, only to find as her father seizes power in Andlios he may be a puppet for figures from his own past. With the help of her old friends, she must venture out further into the galaxy than she ever has before, hoping to stop the Banished before it’s too late. There’s just one problem: the Khonsu revolution finds itself besieged by the Earth Ministry. After Khonsu Station and the gate went dark, Katrijn and Jace ventured through once more, in search of Loren and their friends. What they weren’t expecting was their fragile intra-galaxy alliance hanging on by a thread as the Earth Ministry cut off Khonsu Station, looking to reclaim the station and quash the uprising before it could spread through the rest of the galaxy. Every revolution faces its past, but is that past too powerful to stop? *** KEYWORDS: science fiction, scifi book, scifi books, space opera book, space opera scifi, space opera adventure battles, science fiction female lead, strong female characters in books, anarchist scifi, cyborg fiction, space opera exploration, space viking book, anticapitalist scifi, existential scifi, scifi box set, epic space opera, scifi fantasy, space viking battles, lgbtq scifi, progressive scifi, hema battles scifi, space opera, science fiction cthulhu, lovecraftian, lovecraftian scifi For fans of: Frank Herbert, Dan Simmons, China Mieville, Isaac Asimov, Ursula K. LeGuin, John Wilker, Martha Wells, Ann Leckie, Iain M. Banks, Iain Banks, Kim Stanley Robinson, John Scalzi, Chuck Wendig, Kevin J. Anderson",Fiction,,,2021
Galaxy Legend Short Stories Vol.16,Poul Anderson et al.,"Galaxy Science Fiction was an American digest-size science fiction magazine, published from 1950 to 1980. It was founded by an Italian company, World Editions, which was looking to break into the American market. World Editions hired as editor H. L. Gold, who rapidly made Galaxy the leading science fiction (sf) magazine of its time, focusing on stories about social issues rather than technology. Gold published many notable stories during his tenure, including Ray Bradbury's ""The Fireman"", later expanded as Fahrenheit 451; Robert A. Heinlein's The Puppet Masters; and Alfred Bester's The Demolished Man. In 1952, the magazine was acquired by Robert Guinn, its printer. By the late 1950s, Frederik Pohl was helping Gold with most aspects of the magazine's production. When Gold's health worsened, Pohl took over as editor, starting officially at the end of 1961, though he had been doing the majority of the production work for some time. Under Pohl Galaxy had continued success, regularly publishing fiction by writers such as Cordwainer Smith, Jack Vance, Harlan Ellison, and Robert Silverberg. However, Pohl never won the annual Hugo Award for his stewardship of Galaxy, winning three Hugos instead for its sister magazine, If. In 1969 Guinn sold Galaxy to Universal Publishing and Distribution Corporation (UPD) and Pohl resigned, to be replaced by Ejler Jakobsson. Under Jakobsson the magazine declined in quality. It recovered under James Baen, who took over in mid-1974, but when he left at the end of 1977 the deterioration resumed, and there were financial problems—writers were not paid on time and the schedule became erratic. By the end of the 1970s the gaps between issues were lengthening, and the title was finally sold to Galileo publisher Vincent McCaffrey, who brought out only a single issue in 1980. A brief revival as a semi-professional magazine followed in 1994, edited by H. L. Gold's son, E. J. Gold; this lasted for eight bimonthly issues. At its peak, Galaxy greatly influenced the science fiction field. It was regarded as one of the leading sf magazines almost from the start, and its influence did not wane until Pohl's departure in 1969. Gold brought a ""sophisticated intellectual subtlety"" to magazine science fiction according to Pohl, who added that ""after Galaxy it was impossible to go on being naive."" SF historian David Kyle agrees, commenting that ""of all the editors in and out of the post-war scene, the most influential beyond any doubt was H. L. Gold"". Kyle suggests that the new direction Gold set ""inevitably"" led to the experimental New Wave, the defining science fiction literary movement of the 1960s.",Fiction,,,2016
Future Science Fiction Digest issue 1,"Mike Resnick, Marina and Sergey Dyachenko, Lawrence M. Schoen, Clelia Farris, Walter Dinjos, Dantzel Cherry, Steve Kopka, Liang Ling","Science fiction magazine featuring stories from across the globe. In this issue we have original fiction and translations from China, the Ukraine, Nigeria, Italy, and the United States. Fiction contents:""The Rule of Three"" by Lawrence M. Schoen, ""SisiMumu"" by Walter Dinjos, ""The Emperor of Death"" by Marina and Sergey Dyachenko, ""One Bad Unit"" by Steve Kopka, ""The Substance of Ideas"" by Clelia Farris, ""In All Possible Futures"" by Dantzel Cherry, ""Perfection"" by Mike Resnick, ""Wordfall"" by Liang Ling. Also included is an interview with Hollywood showrunners Javier Grillo-Marxuach and Jose Molina, an essay about the role of empire in SF storytelling, and a profile of Marina and Sergey Dyachenko by their translator and friend Julia Meitov Hersey. Includes 65,000 words of fiction and articles.",Fiction,,,2018
Walter Tevis Sci-Fi Novels,Walter Tevis,"Three science fiction novels from the Nebula Award–nominated author of The Hustler and The Color of Money . The Man Who Fell to Earth After his home planet is devastated by war, an alien disguised as a human comes to Earth on a mission to save his people. He begins amassing wealth needed to build a spacecraft to bring his people to join him, but his plans get sidelined when he descends into alcoholism. Mockingbird On a post-apocalyptic Earth where humanity has suffered devastating losses, people are drugged from childhood on, there is no art, and reading is illegal. A suicidal machine runs the world, while the passion between two humans provides the only hope for humankind. The Steps of the Sun When the world's richest man travels to the stars in search of the mineral wealth America needs to get it out of an energy crisis, he finds more than he bargains for—and gets more than he ever believed was possible . . . ""Among the finest science fiction novels . . . . Just beneath the surface it might be read as a parable of the Fifties and of the Cold War. Beneath that as an evocation of existential loneliness, a Christian fable, a parable of the artist. Above all, perhaps, as the wisest, truest representation of alcoholism ever written."" —James Sallis, Fantasy & Science Fiction on The Man Who Fell to Earth ""A moral tale that has elements of Aldous Huxley's Brave New World, Superman, and Star Wars"" — Los Angeles Times Book Review on Mockingbird ""Engaging and effortlessly readable."" — Publishers Weekly on The Steps of the Sun",Fiction,,,2020
The Auriga Project,M.G. Herron,"A portal science fiction adventure series by author M.G. Herron. Hurled into the great unknown Ripped from Earth and transported to a strange new world, archaeologist Eliana Fisk is taken captive by the leaders of a distinctly Mayan tribe. What do they want with her? She's not sure, but they don't seem friendly. When she discovers evidence of an ancient sacrificial ritual, Eliana fears she'll be next. Can she avoid becoming an offering to their bloodthirsty god? And how in the worlds will she ever get back home? The Auriga Project is the first novel of the Translocator Trilogy, a fast-paced and thrilling portal sci-fi adventure series. Weaving a malfunctioning teleportation device into an archaeological mystery about a lost tribe of ancient Mayans, this story is a harrowing tale of survival against all odds and the gateway to an ancient alien mystery.",Fiction,4.0,1.0,
Dusty Zebra,Clifford D. Simak,"Tales of science fiction and adventure from the Hugo Award–winning author of Way Station and City. The long and prolific career of Clifford D. Simak cemented him as one of the formative voices of the science fiction and fantasy genre. The third writer to be named a Grand Master by the Science Fiction Writers of America, his literary legacy stands alongside those of Robert A. Heinlein and Ray Bradbury. This striking collection of nine tales showcases Simak's ability to take the everyday and turn it into something truly compelling, taking readers on a long journey in a very short time. In ""Dusty Zebra,"" Joe discovers a portal that allows him to exchange everyday objects with an entity he can neither see nor hear, and soon learns that one man's treasure may be another dimension's trash. In ""Retrograde Evolution,"" an interplanetary trading vessel tries to figure out how to deal with a remote society that has suddenly decided to become far less civilized. And in ""Project Mastodon,"" an unusual ambassador from an unheard-of country offers amazing opportunities in a place the modern world can never compete with: the past. Simak's mastery of the short form is on display in these and six other stories. Each story includes an introduction by David W. Wixon, literary executor of the Clifford D. Simak estate and editor of this ebook.",Fiction,,,2017
The Book Of GIANTS,Dystopian Science Fiction ,"The Shattered World The air in Saltwater Bay hung thick with the acrid stench of decay. Once a gleaming metropolis nestled in the heart of the Great Salt Lake, it had long since crumbled into ruin—a graveyard of steel and myth. The city's skeletal remains jutted out from the salt-crusted ground like the bones of a long-dead leviathan, each tower a silent sentinel of a forgotten age. Now, the settlement of Deadroot clung to the edge of the bay, a half-tumbled town of scavenged metal and patchwork shelters. Its people eked out a fractured existence, surviving on the remnants of a civilization that had collapsed long before their time. Here, in the shadow of the dead city, the legend of the Giants lived on. The old texts, brittle with age and dust, spoke of them as the children of fallen angels—creatures of immense power bound to the land through an unbreakable covenant. According to the myths, they demanded tribute in the form of human offerings, and if none were given, they would descend to destroy all in their path. The people of Deadroot, hardened by years of survival, had learned to fear the Giants not as metaphors or ghosts of ancient stories, but as real, looming threats. They told their children never to speak of them aloud, never to look toward the hills when the sky turned red with the evening sun, for it was said the Giants could see through any veil of fear.",Juvenile Fiction,,,
Age of Wonders,David G. Hartwell,"An award-winning and pioneering science fiction editor explores the origins, history, and culture of the literary genre through a series of essays. ""Hartwell has taken his cosmic mind on a marvelous exploration of science fiction as it was, as it is, and as it may well be. I was enthralled by Age of Wonders all the way through."" —Frank Herbert, author of Dune David G. Hartwell (1941–2016) was one of science fiction's most experienced and influential editors. A winner of multiple awards in both science fiction and fantasy, he worked with many of the field's most respected writers. Like those other American art forms, jazz, comics, and rock 'n' roll, science fiction is the product of a rich and fascinating subculture. Age of Wonder is a captivating tour of the origins, history, and culture of the science fiction world, written with insight and genuine affection for this wonder-filled literature, and addressed to newcomers and longtime SF readers alike. David G. Hartwell's thoughts continue to reverberate and influence the field he helped to build, and this work will remain a core text in its history and study. ""A landmark work. Daring, imaginative, witty—it is the best commentary on the field yet written."" —Roger Zelany, creator of the Amber series",Literary Criticism,,,2017
Vintage Science Fiction,Peter Haining,"A collection of stories that inspired landmark films features the work of Ray Bradbury, Arthur C. Clarke, Stephen King, Rod Serling, Isaac Asimov, and Terry Pratchett",Fiction,,,1999
The First William P. McGivern Science Fiction MEGAPACK ®,"William P. McGivern, Gerald Vance","William P. McGivern, a popular and prolific science fiction writer in the 1940s and 1950s (under his own name as well as the pseudonyms Gerald Vance and P.F. Costello), later achieved fame as a noir and hardboiled mystery author of such classics as ""The Big Heat."" The First William P. McGivern Science Fiction Megapack collects 25 of his early science fiction stories, including: JOHN BROWN'S BODY THE VISIBLE INVISIBLE MAN THE DYNAMOUSE KILLER'S TURNABOUT THE FATE OF ASTEROID 13 DICTOGRAPHS OF DEATH THE MASTERFUL MIND OF MORTIMER MEEK THE QUANDARY OF QUINTAS QUAGGLE MR. MUDDLE DOES AS HE PLEASES PETER FERENY'S DEATH CELL YELLOW MUD FOR COWARDS PLANET OF LOST MEN MYSTERY ON BASE 10 REHEARSAL FOR DANGER KIDNAPPED INTO THE FUTURE THE GIANT FROM JUPITER CAPTAIN STINKY CAPTAIN STINKY'S LUCK SAFARI TO THE LOST AGES CONVOY IN SPACE VENGEANCE ON VENUS MONSOONS OF DEATH LARSON'S LUCK THE CHAMELEON MAN VISITOR TO EARTH If you enjoy this book, search your favorite ebook store for ""Wildside Press Megapack"" to see the 150+ entries in the Megapack series, covering science fiction, fantasy, horror, mysteries, westerns, classics, adventure stories, and much, much more!",Fiction,,,2014
The Science Fiction Universe-- and Beyond,Michael Mallory,"The science fiction universe-- and beyond brings a breadth of knowledge, insight, and passion to a century of close encounters, black holes, time travel, distant planets, impossible quests, nuclear war, futuristic technology, inexplicable forces, spaceships, extraordinary monsters, and subterranean societies. Arranged chronologically, it follows the progression of sci-fi over the decades, dealing with a variety of classic films and television shows.",Science fiction films,,,2012
Subject Guide to Books,,"Contents.--v.1. History, travel & description.",Best books,,,1925
The Road to Science Fiction: From Gilgamesh to Wells,James Gunn,"Now in Paperback! Between an ancient Roman's trip to the moon and the fantastic tales of H.G. Wells lies a journey through time and space and an awesome evolution in scientific thinking. From Gilgamesh's search for immortality to Lucian's odyssey on the moon; from Jonathan Swift's hilarious satire on scientists in Gulliver's Travels to Mary Shelley's horrifying description of a scientist who has gone too far in Frankenstein from Edgar Allan Poe's balloon trip in the year 2848 to Jules Verne's prophesies of the impact of scientific inventions on future civilization; from Edward Bellamy's utopian escape from the industrial Revolution to H.G. Wells's magnificent story of Earth threatened by an inescapable menace-here are the chief ancestors of the modern science fiction story. For the first time, these and other key works are gathered together in one anthology, complete with revealing commentary on the authors, their eras, and the role each played in establishing what we today recognize as science fiction. The Road to Science Fiction is a six-volume anthology of science fiction that covers the development of science fiction from its earliest prototypes in the Sumerian Gilgamesh and the Greek epics to approximately 1990. Created originally to provide anthologies for use in classes, these volumes have become mass-market sellers as well, since they are not only a source of outstanding stories but also explain what constitutes science fiction, how it developed and the contribution the authors and the stories have made to the evolution of science fiction. Cloth edition previously published in 1979.",Fiction,,,2002
Z-Lensman,David A. Kyle,"The strangest of all Second Stage Lensmen is Nadreck, the multidimensional extraterrestrial guardian of Palain VII. When the spawn of Boskonia threaten an inter-planetary Armageddon, only Nadreck's Z-powers can save the Lensmen and civilization from a deadly mind attack from another plane of existence! Book jacket.",Fiction,,,2004
